,Index,Report,Size
0,0,BLOOD CULTURE MICROBIOLOGY,236
1,2,URINE MICROBIOLOGY,399
2,3,CEREBROSPINAL FLUID MICROBIOLOGY,983
3,4,BLOOD CULTURE MICROBIOLOGY,762
4,5,RESPIRATORY MICROBIOLOGY,398
5,6,CATHETER TIP MICROBIOLOGY,268
6,7,MICROBIOLOGY,464
7,8,MICROBIOLOGY,527
8,9,MICROBIOLOGY,462
9,10,RESPIRATORY MICROBIOLOGY,536
10,11,RESPIRATORY MICROBIOLOGY,537
11,12,MULTI-RESISTANT ORGANISM SCREEN,275
12,13,MULTI-RESISTANT ORGANISM SCREEN,276
13,14,RESPIRATORY MICROBIOLOGY,1478
14,15,BLOOD CULTURE MICROBIOLOGY,236
15,16,CATHETER TIP MICROBIOLOGY,268
16,17,MULTI-RESISTANT ORGANISM SCREEN,275
17,18,RESPIRATORY MICROBIOLOGY,848
18,19,MULTI-RESISTANT ORGANISM SCREEN,254
19,20,MULTI-RESISTANT ORGANISM SCREEN,254
20,21,MULTI-RESISTANT ORGANISM SCREEN,276
21,22,URINE MICROBIOLOGY,401
22,23,MICROBIOLOGY,403
23,24,BLOOD CULTURE MICROBIOLOGY,236
24,25,CATHETER TIP MICROBIOLOGY,280
25,26,MICROBIOLOGY,400
26,27,CEREBROSPINAL FLUID MICROBIOLOGY,987
27,28,MULTI-RESISTANT ORGANISM SCREEN,275
28,29,MULTI-RESISTANT ORGANISM SCREEN,276
29,30,URINE MICROBIOLOGY,421
30,31,MULTI-RESISTANT ORGANISM SCREEN,276
31,32,MULTI-RESISTANT ORGANISM SCREEN,275
32,33,URINE MICROBIOLOGY,456
33,34,URINE MICROBIOLOGY,401
34,35,RESPIRATORY MICROBIOLOGY,565
35,36,MULTI-RESISTANT ORGANISM SCREEN,276
36,37,MULTI-RESISTANT ORGANISM SCREEN,275
37,38,MULTI-RESISTANT ORGANISM SCREEN,269
38,39,BODY FLUID EXAMINATION,1047
39,40,MULTI-RESISTANT ORGANISM SCREEN,276
40,41,MULTI-RESISTANT ORGANISM SCREEN,247
41,42,MULTI-RESISTANT ORGANISM SCREEN,269
42,43,BLOOD CULTURE MICROBIOLOGY,236
43,44,MULTI-RESISTANT ORGANISM SCREEN,275
44,45,MULTI-RESISTANT ORGANISM SCREEN,276
45,46,MULTI-RESISTANT ORGANISM SCREEN,276
46,47,MULTI-RESISTANT ORGANISM SCREEN,275
47,48,MICROBIOLOGY,485
48,49,MULTI-RESISTANT ORGANISM SCREEN,275
49,50,MULTI-RESISTANT ORGANISM SCREEN,276
50,51,MULTI-RESISTANT ORGANISM SCREEN,275
51,52,MULTI-RESISTANT ORGANISM SCREEN,275
52,53,MULTI-RESISTANT ORGANISM SCREEN,247
53,54,MULTI-RESISTANT ORGANISM SCREEN,276
54,55,MULTI-RESISTANT ORGANISM SCREEN,276
55,56,MULTI-RESISTANT ORGANISM SCREEN,276
56,57,URINE MICROBIOLOGY,421
57,58,MULTI-RESISTANT ORGANISM SCREEN,276
58,59,RESPIRATORY MICROBIOLOGY,636
59,60,MULTI-RESISTANT ORGANISM SCREEN,276
60,61,MULTI-RESISTANT ORGANISM SCREEN,254
61,62,MULTI-RESISTANT ORGANISM SCREEN,269
62,63,MULTI-RESISTANT ORGANISM SCREEN,276
63,64,MULTI-RESISTANT ORGANISM SCREEN,276
64,65,MULTI-RESISTANT ORGANISM SCREEN,254
65,66,RESPIRATORY MICROBIOLOGY,1309
66,67,MICROBIOLOGY,916
67,68,MICROBIOLOGY,491
68,69,MULTI-RESISTANT ORGANISM SCREEN,268
69,70,BLOOD CULTURE MICROBIOLOGY,287
70,71,RESPIRATORY MICROBIOLOGY,1276
71,72,MULTI-RESISTANT ORGANISM SCREEN,254
72,73,Bacterial Antigens,966
73,74,CATHETER TIP MICROBIOLOGY,576
74,75,MULTI-RESISTANT ORGANISM SCREEN,247
75,76,MULTI-RESISTANT ORGANISM SCREEN,275
76,77,Bacterial Antigens,592
77,78,MULTI-RESISTANT ORGANISM SCREEN,275
78,79,BLOOD CULTURE MICROBIOLOGY,367
79,80,MULTI-RESISTANT ORGANISM SCREEN,268
80,81,RESPIRATORY MICROBIOLOGY,436
81,82,MULTI-RESISTANT ORGANISM SCREEN,274
82,83,RESPIRATORY MICROBIOLOGY,442
83,84,MULTI-RESISTANT ORGANISM SCREEN,276
84,85,MULTI-RESISTANT ORGANISM SCREEN,376
85,86,RESPIRATORY MICROBIOLOGY,451
86,87,MICROBIOLOGY,879
87,88,C difficile screening,266
88,89,MICROBIOLOGY,416
89,90,MULTI-RESISTANT ORGANISM SCREEN,273
90,91,BLOOD CULTURE MICROBIOLOGY,228
91,92,MICROBIOLOGY,690
92,93,MULTI-RESISTANT ORGANISM SCREEN,276
93,94,MULTI-RESISTANT ORGANISM SCREEN,269
94,95,BLOOD CULTURE MICROBIOLOGY,294
95,96,URINE MICROBIOLOGY,401
96,97,URINE MICROBIOLOGY,401
97,98,MULTI-RESISTANT ORGANISM SCREEN,275
98,99,MULTI-RESISTANT ORGANISM SCREEN,254
99,100,MULTI-RESISTANT ORGANISM SCREEN,268
100,101,MULTI-RESISTANT ORGANISM SCREEN,268
101,102,BLOOD CULTURE MICROBIOLOGY,236
102,103,RESPIRATORY MICROBIOLOGY,886
103,104,MULTI-RESISTANT ORGANISM SCREEN,275
104,105,BLOOD CULTURE MICROBIOLOGY,236
105,106,URINE MICROBIOLOGY,456
106,107,MULTI-RESISTANT ORGANISM SCREEN,254
107,108,RESPIRATORY MICROBIOLOGY,963
108,109,MULTI-RESISTANT ORGANISM SCREEN,275
109,110,MULTI-RESISTANT ORGANISM SCREEN,275
110,111,MULTI-RESISTANT ORGANISM SCREEN,276
111,112,RESPIRATORY MICROBIOLOGY,435
112,113,MULTI-RESISTANT ORGANISM SCREEN,276
113,114,MULTI-RESISTANT ORGANISM SCREEN,276
114,115,URINE MICROBIOLOGY,1055
115,116,MULTI-RESISTANT ORGANISM SCREEN,254
116,117,MULTI-RESISTANT ORGANISM SCREEN,276
117,118,MULTI-RESISTANT ORGANISM SCREEN,275
118,119,MULTI-RESISTANT ORGANISM SCREEN,254
119,120,RESPIRATORY MICROBIOLOGY,457
120,121,RESPIRATORY MICROBIOLOGY,1276
121,122,BLOOD CULTURE MICROBIOLOGY,367
122,123,URINE MICROBIOLOGY,570
123,124,MULTI-RESISTANT ORGANISM SCREEN,275
124,125,URINE MICROBIOLOGY,401
125,126,RESPIRATORY MICROBIOLOGY,205
126,127,MICROBIOLOGY,879
127,128,MULTI-RESISTANT ORGANISM SCREEN,254
128,129,BODY FLUID EXAMINATION,574
129,130,MULTI-RESISTANT ORGANISM SCREEN,276
130,131,MULTI-RESISTANT ORGANISM SCREEN,275
131,132,CEREBROSPINAL FLUID MICROBIOLOGY,787
